date,area,month,cases,deaths
2020-05-05,Alameda,May,59.0,1.0
2020-05-06,Alameda,May,43.0,2.0
2020-05-07,Alameda,May,37.0,1.0
2020-05-08,Alameda,May,60.0,2.0
2020-05-09,Alameda,May,43.0,1.0
2020-05-10,Alameda,May,43.0,1.0
2020-05-11,Alameda,May,77.0,2.0
2020-05-12,Alameda,May,50.0,3.0
2020-05-13,Alameda,May,62.0,1.0
2020-05-14,Alameda,May,58.0,1.0
2020-05-15,Alameda,May,91.0,2.0
2020-05-16,Alameda,May,34.0,2.0
2020-05-17,Alameda,May,50.0,1.0
2020-05-18,Alameda,May,95.0,1.0
2020-05-19,Alameda,May,73.0,0.0
2020-05-20,Alameda,May,75.0,0.0
2020-05-21,Alameda,May,73.0,1.0
2020-05-22,Alameda,May,65.0,1.0
2020-05-23,Alameda,May,54.0,1.0
2020-05-24,Alameda,May,41.0,1.0
2020-05-25,Alameda,May,73.0,1.0
2020-05-26,Alameda,May,93.0,0.0
2020-05-27,Alameda,May,93.0,0.0
2020-05-28,Alameda,May,82.0,1.0
2020-05-29,Alameda,May,99.0,1.0
2020-05-30,Alameda,May,35.0,2.0
2020-05-31,Alameda,May,26.0,1.0
2020-06-01,Alameda,June,106.0,2.0
2020-06-02,Alameda,June,65.0,0.0
2020-06-03,Alameda,June,76.0,1.0
2020-06-04,Alameda,June,59.0,0.0
2020-06-05,Alameda,June,99.0,1.0
2020-06-06,Alameda,June,51.0,1.0
2020-06-07,Alameda,June,45.0,1.0
2020-06-08,Alameda,June,113.0,1.0
2020-06-09,Alameda,June,80.0,2.0
2020-06-10,Alameda,June,110.0,2.0
2020-06-11,Alameda,June,100.0,1.0
2020-06-12,Alameda,June,131.0,1.0
2020-06-13,Alameda,June,73.0,0.0
2020-06-14,Alameda,June,63.0,0.0
2020-06-15,Alameda,June,145.0,2.0
2020-06-16,Alameda,June,125.0,2.0
2020-06-17,Alameda,June,116.0,0.0
2020-06-18,Alameda,June,123.0,3.0
2020-06-19,Alameda,June,129.0,1.0
2020-06-20,Alameda,June,72.0,2.0
2020-06-21,Alameda,June,62.0,2.0
2020-06-22,Alameda,June,194.0,1.0
2020-06-23,Alameda,June,151.0,2.0
2020-06-24,Alameda,June,181.0,1.0
2020-06-25,Alameda,June,161.0,0.0
2020-06-26,Alameda,June,191.0,2.0
2020-06-27,Alameda,June,86.0,0.0
2020-06-28,Alameda,June,95.0,2.0
2020-06-29,Alameda,June,259.0,0.0
2020-06-30,Alameda,June,210.0,1.0
2020-07-01,Alameda,July,249.0,0.0
2020-07-02,Alameda,July,221.0,4.0
2020-07-03,Alameda,July,126.0,1.0
2020-07-04,Alameda,July,121.0,1.0
2020-07-05,Alameda,July,112.0,0.0
2020-07-06,Alameda,July,252.0,0.0
2020-07-07,Alameda,July,238.0,3.0
2020-07-08,Alameda,July,319.0,2.0
2020-07-09,Alameda,July,293.0,1.0
2020-07-10,Alameda,July,236.0,3.0
2020-07-11,Alameda,July,157.0,2.0
2020-07-12,Alameda,July,102.0,2.0
2020-07-13,Alameda,July,271.0,1.0
2020-07-14,Alameda,July,308.0,3.0
2020-07-15,Alameda,July,340.0,1.0
2020-07-16,Alameda,July,202.0,2.0
2020-07-17,Alameda,July,233.0,5.0
2020-07-18,Alameda,July,140.0,0.0
2020-07-19,Alameda,July,136.0,1.0
2020-07-20,Alameda,July,237.0,0.0
2020-07-21,Alameda,July,253.0,2.0
2020-07-22,Alameda,July,214.0,1.0
2020-07-23,Alameda,July,219.0,3.0
2020-07-24,Alameda,July,239.0,1.0
2020-07-25,Alameda,July,142.0,3.0
2020-07-26,Alameda,July,97.0,0.0
2020-07-27,Alameda,July,238.0,4.0
2020-07-28,Alameda,July,227.0,1.0
2020-07-29,Alameda,July,224.0,6.0
2020-07-30,Alameda,July,220.0,2.0
2020-07-31,Alameda,July,197.0,3.0
